time;real_x;predict_x;update_x;real_y;predict_y;update_y;real_phi;predict_phi;update_phi
111,0018;-0,6396039;-0,5421327;-0,6395792;0,6390554;0,7221436;0,6427934;142,1241;135,6774;142,142
111,2196;-0,6396039;-0,5421327;-0,639595;0,6390554;0,7221436;0,6428204;142,1241;135,6774;142,1425
111,4375;-0,6396039;-0,5421327;-0,6395984;0,6390554;0,7221436;0,6428247;142,1241;135,6774;142,1426
111,6545;-0,6396039;-0,5421327;-0,6395989;0,6390554;0,7221436;0,642825;142,1241;135,6774;142,1426
111,8732;-0,6396039;-0,5421327;-0,6395984;0,6390554;0,7221436;0,6428255;142,1241;135,6774;142,1426
112,0955;-0,6396039;-0,5421327;-0,6395981;0,6390554;0,7221436;0,642826;142,1241;135,6774;142,1426
112,3121;-0,6396039;-0,5421327;-0,6395984;0,6390554;0,7221436;0,6428249;142,1241;135,6774;142,1426
112,5316;-0,6396039;-0,5421327;-0,6395979;0,6390554;0,7221436;0,6428254;142,1241;135,6774;142,1426
112,7446;-0,6396039;-0,5421327;-0,6395977;0,6390554;0,7221436;0,6428259;142,1241;135,6774;142,1426
112,9593;-0,6396039;-0,5421327;-0,6395984;0,6390554;0,7221436;0,6428256;142,1241;135,6774;142,1426
113,185;-0,6396039;-0,5421327;-0,6395966;0,6390554;0,7221436;0,6428262;142,1241;135,6774;142,1426
113,4116;-0,6396039;-0,5421327;-0,6395972;0,6390554;0,7221436;0,6428252;142,1241;135,6774;142,1426
113,6367;-0,6396039;-0,5421327;-0,6395966;0,6390554;0,7221436;0,6428251;142,1241;135,6774;142,1426
113,8616;-0,6396039;-0,5421327;-0,6395967;0,6390554;0,7221436;0,6428253;142,1241;135,6774;142,1426
114,0852;-0,6396039;-0,5421327;-0,6395968;0,6390554;0,7221436;0,6428255;142,1241;135,6774;142,1426
114,2855;-0,6396039;-0,5421327;-0,6395962;0,6390554;0,7221436;0,6428255;142,1241;135,6774;142,1426
114,506;-0,6396039;-0,5421327;-0,6395964;0,6390554;0,7221436;0,6428257;142,1241;135,6774;142,1426
114,7215;-0,6396039;-0,5421327;-0,6395957;0,6390554;0,7221436;0,6428256;142,1241;135,6774;142,1426
114,938;-0,6329746;-0,4972464;-0,6265056;0,6338992;0,6783063;0,6260473;141,8413;133,5646;141,5914
115,1629;-0,3931633;-0,1871739;-0,3466403;0,4108907;0,3522945;0,4240911;130,7982;118,413;129,9825
115,363;-0,164065;0,003189241;-0,1425751;0,08402614;0,0004166396;0,0757771;117,3252;104,9403;117,1384
115,5734;-0,01189834;0,1116862;0,0006485358;-0,3072102;-0,4061944;-0,3138309;103,1531;90,76817;103,089
