time;real_x;real_y;real_phi;predict_x;predict_y;predict_phi;update_x;update_y;update_phi
2,897534;-24,98748;16,26963;91,38976; -25;16,26837;90,00001; -25,00915;16,2898;90,83979
2,929712;-24,98721;16,25192;91,44434; -25;16,25229;90,00001; -25,02424;16,26524;91,07226
2,957271;-24,98485;16,23834;91,62816; -25;16,23851;90,00001; -25,01297;16,25294;91,06776
2,984703;-24,98402;16,22494;91,65002; -25;16,22479;90,00001; -25,01967;16,24229;91,07655
3,014818;-24,98256;16,20841;91,80071; -25;16,20973;90,00001; -25,01363;16,22264;91,24556
3,040111;-24,98154;16,19625;92,03002; -25;16,19709;90,00001; -25,00435;16,2107;91,25359
3,074896;-24,97913;16,17831;92,02349; -25;16,1797;90,00001; -25,00638;16,19545;91,56406
3,104912;-24,97915;16,1639;92,00417; -25;16,16469;90,00001; -25,00721;16,17797;91,43394
3,137541;-24,9782;16,1467;92,01461; -25;16,14837;90,00001; -25,00376;16,15536;91,44158
3,163505;-24,97646;16,13278;92,04704; -25;16,13539;90,00001; -25,0009;16,14313;91,36511
3,193509;-24,9758;16,11739;91,87014; -25;16,12039;90,00001; -24,99802;16,12988;91,5666
3,219162;-24,97389;16,10522;91,70589; -25;16,10756;90,00001; -25,00426;16,11794;91,15351
3,250476;-24,97378;16,0907;91,5895; -25;16,09191;90,00001; -24,99297;16,09589;91,1201
3,277048;-24,97303;16,07817;91,5857; -25;16,07862;90,00001; -24,98871;16,08436;91,11857
3,3128;-24,97178;16,05899;91,55482; -25;16,06074;90,00001; -24,98948;16,06526;91,26148
3,339094;-24,97221;16,04468;91,67036; -25;16,0476;90,00001; -24,98396;16,05239;91,22034
3,363982;-24,97294;16,03289;91,81661; -25;16,03515;90,00001; -24,98658;16,03574;91,42634
3,395552;-24,97354;16,01982;91,81186; -25;16,01937;90,00001; -24,9893;16,0227;91,51089
3,42271;-24,97207;16,00735;91,70329; -25;16,00579;90,00001; -24,99603;16,01561;91,49674
3,454741;-24,97252;15,99209;91,78561; -25;15,98977;90,00001; -25,00415;16,00838;91,45784
3,492646;-24,97138;15,97199;91,63463; -25;15,97082;90,00001; -24,99062;15,97465;91,27304
3,525302;-24,97027;15,95642;91,7293; -25;15,95449;90,00001; -24,98411;15,95441;91,22621
3,551464;-24,96903;15,94355;91,59212; -25;15,94141;90,00001; -24,9837;15,94667;91,22144
3,585122;-24,96677;15,92584;91,49909; -25;15,92458;90,00001; -24,98956;15,93064;91,29296
